method,seed,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc,comm_mb,accuracy_per_mb,worst_accuracy_per_mb,loss_per_mb,reached_threshold
fedavg_default,7,9,True,1,0.4766921814945009,0.5323635422521167,0.823545946015252,0.7126725316047668,39744720,0.9062030286898051,0.6442003141488626,0.8227224108511746,0.8676258992805755,0.7778189224217738,0.6,0.29154161164560144,39.74472,0.020720889366317136,0.017931250531008063,0.013394572719398116,True
fedavg_default,11,9,True,1,0.5232603632741504,0.6249862495395873,0.8243880934185452,0.7319949865341187,39744720,0.9069732771457338,0.6511613951485171,0.8258100795793655,0.8633093525179856,0.7883108066407455,0.6,0.3477272727272728,39.74472,0.02074207827904047,0.018417414603351556,0.015725013273199237,True
fedavg_default,19,9,True,1,0.5020674765110016,0.6286142567793528,0.7542991737524668,0.40822675824165344,39744720,0.8908556768730544,0.6243283464048697,0.7847777545414141,0.8815347721822542,0.688020736900574,0.7,0.2552575696077748,39.74472,0.018978600773951027,0.010271219881323946,0.015816296020687848,True
fedavg_default,23,9,True,1,0.5483166641659207,0.6399366971519258,0.8091183238559299,0.7319949865341187,39744720,0.9040119579951665,0.6370431703629902,0.8193622550580162,0.875779376498801,0.7629451336172314,0.6,0.23355265538298195,39.74472,0.02035788209996019,0.018417414603351556,0.016101175128468027,True
fedavg_default,29,18,True,10,0.43508383217785096,0.45365286701255375,0.8414350416925218,0.7515683770179749,79489440,0.9032322077905164,0.6417364431548933,0.8159906882862531,0.8134292565947242,0.8185521199777819,0.6,0.27937171494567137,79.48944,0.010585494648000059,0.009454946179240599,0.005707083444197792,True
fedavg_default,31,9,True,1,0.5908912271261215,0.6153064717849096,0.8370813330014547,0.735508143901825,39744720,0.9067452647768842,0.6490131602711431,0.8262025817228091,0.8513189448441247,0.8010862186014935,0.6,0.34681159420289853,39.74472,0.021061447482872055,0.018505807662044793,0.015481464501068559,True
fedavg_default,37,14,True,6,0.538012906908989,0.6114685543709331,0.8284782038794624,0.7362609505653381,61825120,0.9079438615373208,0.6512625004521023,0.8282999373506195,0.8618705035971223,0.7947293711041166,0.6,0.2872682227756047,61.82512,0.013400349305904499,0.011908767028116373,0.009890293045463286,True
fedavg_default,41,19,True,11,0.3812328808837467,0.48745395243167877,0.8442846006817288,0.7621079087257385,83905520,0.9073401156874907,0.6410723725405084,0.8242367409534694,0.829736211031175,0.8187372708757638,0.6,0.20953060617645808,83.90552,0.01006232487066082,0.009082929332012227,0.0058095576123201285,True
fedavg_default,43,23,True,15,0.4014749626318614,0.6786788387431039,0.8238824142350091,0.7613636255264282,101569840,0.8895727927933527,0.602742538840472,0.8041420520313984,0.8028776978417266,0.8054064062210702,0.6,0.13953296793899234,101.56984,0.008111486778309477,0.007495961650884044,0.006681893352821112,True
fedavg_default,47,11,True,3,0.5334258940484788,0.5351719922489591,0.8405932717853122,0.7548305988311768,48576880,0.9084132064835079,0.6463252928581001,0.8300193542629329,0.8498800959232614,0.8101586126026045,0.6,0.20971771140888787,48.57688,0.017304389902877915,0.015538885964499505,0.011017010401840527,True
cvar_0,7,9,True,1,0.5060153620110618,0.5643104662497839,0.8346675038337708,0.7397741675376892,39744720,0.9036828008431989,0.6365866765293454,0.818939560442,0.837410071942446,0.800469048941554,0.6,0.34811188811188815,39.74472,0.021000714153572367,0.018613143268783605,0.014198375689897522,True
cvar_0,11,9,True,1,0.5232603632741504,0.6249862495395873,0.8243880934185452,0.7319949865341187,39744720,0.9069732771457338,0.6511613951485171,0.8258100795793655,0.8633093525179856,0.7883108066407455,0.6,0.3477272727272728,39.74472,0.02074207827904047,0.018417414603351556,0.015725013273199237,True
cvar_0,19,9,True,1,0.5020674765110016,0.6286142567793528,0.7542991737524668,0.40822675824165344,39744720,0.8908556768730544,0.6243283464048697,0.7847777545414141,0.8815347721822542,0.688020736900574,0.7,0.2552575696077748,39.74472,0.018978600773951027,0.010271219881323946,0.015816296020687848,True
cvar_0,23,9,True,1,0.5483166641659207,0.6399366971519258,0.8091183238559299,0.7319949865341187,39744720,0.9040119579951665,0.6370431703629902,0.8193622550580162,0.875779376498801,0.7629451336172314,0.6,0.23355265538298195,39.74472,0.02035788209996019,0.018417414603351556,0.016101175128468027,True
cvar_0,29,18,True,10,0.43508383217785096,0.45365286701255375,0.8414350416925218,0.7515683770179749,79489440,0.9032322077905164,0.6417364431548933,0.8159906882862531,0.8134292565947242,0.8185521199777819,0.6,0.27937171494567137,79.48944,0.010585494648000059,0.009454946179240599,0.005707083444197792,True
cvar_0,31,9,True,1,0.5908912271261215,0.6153064717849096,0.8370813330014547,0.735508143901825,39744720,0.9067452647768842,0.6490131602711431,0.8262025817228091,0.8513189448441247,0.8010862186014935,0.6,0.34681159420289853,39.74472,0.021061447482872055,0.018505807662044793,0.015481464501068559,True
cvar_0,37,14,True,6,0.538012906908989,0.6114685543709331,0.8284782038794624,0.7362609505653381,61825120,0.9079438615373208,0.6512625004521023,0.8282999373506195,0.8618705035971223,0.7947293711041166,0.6,0.2872682227756047,61.82512,0.013400349305904499,0.011908767028116373,0.009890293045463286,True
cvar_0,41,19,True,11,0.3812328808837467,0.48745395243167877,0.8442846006817288,0.7621079087257385,83905520,0.9073401156874907,0.6410723725405084,0.8242367409534694,0.829736211031175,0.8187372708757638,0.6,0.20953060617645808,83.90552,0.01006232487066082,0.009082929332012227,0.0058095576123201285,True
cvar_0,43,23,True,15,0.4014749626318614,0.6786788387431039,0.8238824142350091,0.7613636255264282,101569840,0.8895727927933527,0.602742538840472,0.8041420520313984,0.8028776978417266,0.8054064062210702,0.6,0.13953296793899234,101.56984,0.008111486778309477,0.007495961650884044,0.006681893352821112,True
cvar_0,47,11,True,3,0.5334258940484788,0.5351719922489591,0.8405932717853122,0.7548305988311768,48576880,0.9084132064835079,0.6463252928581001,0.8300193542629329,0.8498800959232614,0.8101586126026045,0.6,0.20971771140888787,48.57688,0.017304389902877915,0.015538885964499505,0.011017010401840527,True
cvar_0.5,7,9,True,1,0.49899498290485805,0.5806460032860438,0.8322732448577881,0.7264742851257324,39744720,0.905205345074061,0.639871432858595,0.8199639288754148,0.8474820143884892,0.7924458433623403,0.6,0.28231768231768234,39.74472,0.0209404732215446,0.018278510582681987,0.014609387191205367,True
cvar_0.5,11,9,True,1,0.503854857550727,0.593624108367496,0.8376411332024468,0.7435382604598999,39744720,0.9039678385046084,0.6469611928495307,0.8286121630375758,0.8532374100719424,0.8039869160032093,0.6,0.3305603929073461,39.74472,0.021075532377695622,0.018707850010262997,0.014935923774717648,True
cvar_0.5,19,9,True,1,0.4776060755054156,0.620213626159562,0.7729484703805711,0.5046664476394653,39744720,0.8918718015774382,0.6267939587052536,0.7946542895289397,0.8772182254196643,0.7120903536382152,0.7,0.3129844559035735,39.74472,0.019447827796511614,0.01269769789897791,0.015604931325709729,True
cvar_0.5,23,9,True,1,0.5506168487999175,0.7454685452911589,0.798544340663486,0.656066358089447,39744720,0.899097452273323,0.6289413995626391,0.8116528735907775,0.8796163069544365,0.7436894402271185,0.7,0.2504167588683718,39.74472,0.020091834605036493,0.016507006668796433,0.018756417086122606,True
cvar_0.5,29,30,False,25,0.32415293239884907,0.5191011230150858,0.8060143192609152,0.7022727131843567,132482400,0.8771844364907998,0.5418217536368437,0.7933180062134333,0.7856115107913669,0.8010245016354997,0.4,0.09971306513152145,132.4824,0.00608393506806123,0.005300875536556981,0.003918264788493307,True
cvar_0.5,31,24,True,16,0.386845995982488,0.6332723399003347,0.8265154361724854,0.7746549844741821,105985920,0.892869707196657,0.6118247202766758,0.8086374891939808,0.8182254196642685,0.7990495587236931,0.6,0.26530735819365603,105.98592,0.007798351292062996,0.007309036751996701,0.005975061026033786,True
cvar_0.5,37,14,True,6,0.47757886515723336,0.553656687339147,0.8446728322241042,0.7568381428718567,61825120,0.9077307678019776,0.6524195994919236,0.8284350930660767,0.8422062350119904,0.814663951120163,0.5,0.26897435897435895,61.82512,0.013662291835812112,0.01224159601909154,0.008955206028538998,True
cvar_0.5,41,19,True,11,0.37265196111467147,0.5400004850493537,0.8313607772191366,0.7407779097557068,83905520,0.905482686615011,0.6383141010636094,0.8231758307481029,0.8494004796163069,0.7969511818798988,0.5,0.23021541109856325,83.90552,0.009908296584290719,0.008828714842071258,0.006435815963590402,True
cvar_0.5,43,25,True,17,0.4279506454865138,0.8402999275260501,0.707261386844847,0.402350515127182,110402000,0.8634307736184688,0.5259226674397185,0.7639210608924452,0.8729016786570744,0.6549404431278159,0.8,0.103056760627813,110.402,0.006406237086690884,0.0036444132817085016,0.007611274501603685,True
cvar_0.5,47,11,True,3,0.5271371503671011,0.6560300274027718,0.830431322256724,0.7500627636909485,48576880,0.9093925970129284,0.6490567308939376,0.8289144873695563,0.8599520383693046,0.797876936369808,0.6,0.2678798913789999,48.57688,0.017095196773788766,0.015440735668716237,0.013504984828230463,True
cvar_0.75,7,17,True,9,0.43589237994617885,0.44160010251733994,0.8304376734627618,0.7427854537963867,75073360,0.904335446658411,0.6320994984625573,0.8200274662699021,0.8431654676258993,0.7968894649139048,0.5,0.28712690147324404,75.07336,0.011061682512448648,0.009894128273949464,0.005882247744304237,True
cvar_0.75,11,9,True,1,0.5158266839053895,0.7369573596451018,0.8284704155392117,0.7264742851257324,39744720,0.9107546623319747,0.6529763788831104,0.8305727645249104,0.8709832134292566,0.790162315620564,0.7,0.24246625982471362,39.74472,0.020844791850067424,0.018278510582681987,0.01854227076313789,True
cvar_0.75,19,9,True,1,0.4764489457011223,0.5899038463830948,0.789475335015191,0.6443138718605042,39744720,0.8994741181688976,0.6412525566618633,0.8073706041646964,0.879136690647482,0.7356045176819107,0.7,0.29559386973180074,39.74472,0.01986365321016706,0.016211307360084665,0.014842319844827055,True
cvar_0.75,23,9,True,1,0.5499267545011308,0.7941991918616824,0.7977219820022583,0.7207026481628418,39744720,0.9030162280100008,0.6327072284118368,0.8201810926744626,0.8935251798561151,0.74683700549281,0.7,0.2377983696631238,39.74472,0.020071143588437867,0.018133292879226267,0.019982508163642426,True
cvar_0.75,29,27,True,19,0.3192189981540044,0.49323024186823106,0.8495438628726535,0.7887076735496521,119234160,0.8908957707006032,0.6047605606671745,0.7975337633984647,0.7486810551558754,0.8463864716410541,0.6,0.14476255807815525,119.23416,0.007125003965915921,0.006614779468817091,0.004136652129458798,True
cvar_0.75,31,9,True,1,0.5595188074641757,0.5731186121702194,0.8606731494267782,0.7736511826515198,39744720,0.9055813893599063,0.6485028664041402,0.8217031484976802,0.8047961630695444,0.8386101339258162,0.4,0.3466666666666667,39.74472,0.021655031144433227,0.019465508441159473,0.014419993704074891,True
cvar_0.75,37,28,True,20,0.4109843720992406,0.4821845723523034,0.8185341821776496,0.7681818008422852,123650240,0.8811394283943332,0.5646021431319688,0.7970668012895739,0.7908872901678657,0.8032463124112819,0.7398373983739838,0.23039359393777548,123.65024,0.006619754091683523,0.0062125378878543636,0.003899584605353806,True
cvar_0.75,41,23,True,15,0.39280252655347186,0.5676284597979652,0.8160867691040039,0.7380175590515137,101569840,0.8970572699403889,0.6192399594829484,0.813329355031065,0.8474820143884892,0.7791766956736407,0.4,0.15536074631147032,101.56984,0.008034735203914902,0.007266109300275689,0.005588553253583595,True
cvar_0.75,43,9,True,1,0.4438256124655406,0.5399458184838295,0.8390710022714403,0.7427854537963867,39744720,0.9016373348275647,0.6426288616245447,0.8256471290288636,0.8513189448441247,0.7999753132136024,0.5,0.23433744915222454,39.74472,0.021111508705343507,0.018688908961904543,0.013585347147591667,True
cvar_0.75,47,11,True,3,0.504063743684027,0.5584240191512637,0.8268695672353109,0.7412797808647156,48576880,0.9106973114343185,0.6451640572271955,0.8315814151123093,0.8695443645083932,0.7936184657162254,0.6,0.24702640447340224,48.57688,0.017021874752666512,0.01525992984450042,0.01149567487972187,True
cvar_0.9,7,17,True,9,0.43589237994617885,0.44160010251733994,0.8304376734627618,0.7427854537963867,75073360,0.904335446658411,0.6320994984625573,0.8200274662699021,0.8431654676258993,0.7968894649139048,0.5,0.28712690147324404,75.07336,0.011061682512448648,0.009894128273949464,0.005882247744304237,True
cvar_0.9,11,9,True,1,0.5158266839053895,0.7369573596451018,0.8284704155392117,0.7264742851257324,39744720,0.9107546623319747,0.6529763788831104,0.8305727645249104,0.8709832134292566,0.790162315620564,0.7,0.24246625982471362,39.74472,0.020844791850067424,0.018278510582681987,0.01854227076313789,True
cvar_0.9,19,9,True,1,0.4764489457011223,0.5899038463830948,0.789475335015191,0.6443138718605042,39744720,0.8994741181688976,0.6412525566618633,0.8073706041646964,0.879136690647482,0.7356045176819107,0.7,0.29559386973180074,39.74472,0.01986365321016706,0.016211307360084665,0.014842319844827055,True
cvar_0.9,23,9,True,1,0.5499267545011308,0.7941991918616824,0.7977219820022583,0.7207026481628418,39744720,0.9030162280100008,0.6327072284118368,0.8201810926744626,0.8935251798561151,0.74683700549281,0.7,0.2377983696631238,39.74472,0.020071143588437867,0.018133292879226267,0.019982508163642426,True
cvar_0.9,29,27,True,19,0.3192189981540044,0.49323024186823106,0.8495438628726535,0.7887076735496521,119234160,0.8908957707006032,0.6047605606671745,0.7975337633984647,0.7486810551558754,0.8463864716410541,0.6,0.14476255807815525,119.23416,0.007125003965915921,0.006614779468817091,0.004136652129458798,True
cvar_0.9,31,9,True,1,0.5595188074641757,0.5731186121702194,0.8606731494267782,0.7736511826515198,39744720,0.9055813893599063,0.6485028664041402,0.8217031484976802,0.8047961630695444,0.8386101339258162,0.4,0.3466666666666667,39.74472,0.021655031144433227,0.019465508441159473,0.014419993704074891,True
cvar_0.9,37,28,True,20,0.4109843720992406,0.4821845723523034,0.8185341821776496,0.7681818008422852,123650240,0.8811394283943332,0.5646021431319688,0.7970668012895739,0.7908872901678657,0.8032463124112819,0.7398373983739838,0.23039359393777548,123.65024,0.006619754091683523,0.0062125378878543636,0.003899584605353806,True
cvar_0.9,41,23,True,15,0.39280252655347186,0.5676284597979652,0.8160867691040039,0.7380175590515137,101569840,0.8970572699403889,0.6192399594829484,0.813329355031065,0.8474820143884892,0.7791766956736407,0.4,0.15536074631147032,101.56984,0.008034735203914902,0.007266109300275689,0.005588553253583595,True
cvar_0.9,43,9,True,1,0.4438256124655406,0.5399458184838295,0.8390710022714403,0.7427854537963867,39744720,0.9016373348275647,0.6426288616245447,0.8256471290288636,0.8513189448441247,0.7999753132136024,0.5,0.23433744915222454,39.74472,0.021111508705343507,0.018688908961904543,0.013585347147591667,True
cvar_0.9,47,11,True,3,0.504063743684027,0.5584240191512637,0.8268695672353109,0.7412797808647156,48576880,0.9106973114343185,0.6451640572271955,0.8315814151123093,0.8695443645083932,0.7936184657162254,0.6,0.24702640447340224,48.57688,0.017021874752666512,0.01525992984450042,0.01149567487972187,True
cvar_0.95,7,17,True,9,0.43589237994617885,0.44160010251733994,0.8304376734627618,0.7427854537963867,75073360,0.904335446658411,0.6320994984625573,0.8200274662699021,0.8431654676258993,0.7968894649139048,0.5,0.28712690147324404,75.07336,0.011061682512448648,0.009894128273949464,0.005882247744304237,True
cvar_0.95,11,9,True,1,0.5158266839053895,0.7369573596451018,0.8284704155392117,0.7264742851257324,39744720,0.9107546623319747,0.6529763788831104,0.8305727645249104,0.8709832134292566,0.790162315620564,0.7,0.24246625982471362,39.74472,0.020844791850067424,0.018278510582681987,0.01854227076313789,True
cvar_0.95,19,9,True,1,0.4764489457011223,0.5899038463830948,0.789475335015191,0.6443138718605042,39744720,0.8994741181688976,0.6412525566618633,0.8073706041646964,0.879136690647482,0.7356045176819107,0.7,0.29559386973180074,39.74472,0.01986365321016706,0.016211307360084665,0.014842319844827055,True
cvar_0.95,23,9,True,1,0.5499267545011308,0.7941991918616824,0.7977219820022583,0.7207026481628418,39744720,0.9030162280100008,0.6327072284118368,0.8201810926744626,0.8935251798561151,0.74683700549281,0.7,0.2377983696631238,39.74472,0.020071143588437867,0.018133292879226267,0.019982508163642426,True
cvar_0.95,29,27,True,19,0.3192189981540044,0.49323024186823106,0.8495438628726535,0.7887076735496521,119234160,0.8908957707006032,0.6047605606671745,0.7975337633984647,0.7486810551558754,0.8463864716410541,0.6,0.14476255807815525,119.23416,0.007125003965915921,0.006614779468817091,0.004136652129458798,True
cvar_0.95,31,9,True,1,0.5595188074641757,0.5731186121702194,0.8606731494267782,0.7736511826515198,39744720,0.9055813893599063,0.6485028664041402,0.8217031484976802,0.8047961630695444,0.8386101339258162,0.4,0.3466666666666667,39.74472,0.021655031144433227,0.019465508441159473,0.014419993704074891,True
cvar_0.95,37,28,True,20,0.4109843720992406,0.4821845723523034,0.8185341821776496,0.7681818008422852,123650240,0.8811394283943332,0.5646021431319688,0.7970668012895739,0.7908872901678657,0.8032463124112819,0.7398373983739838,0.23039359393777548,123.65024,0.006619754091683523,0.0062125378878543636,0.003899584605353806,True
cvar_0.95,41,23,True,15,0.39280252655347186,0.5676284597979652,0.8160867691040039,0.7380175590515137,101569840,0.8970572699403889,0.6192399594829484,0.813329355031065,0.8474820143884892,0.7791766956736407,0.4,0.15536074631147032,101.56984,0.008034735203914902,0.007266109300275689,0.005588553253583595,True
cvar_0.95,43,9,True,1,0.4438256124655406,0.5399458184838295,0.8390710022714403,0.7427854537963867,39744720,0.9016373348275647,0.6426288616245447,0.8256471290288636,0.8513189448441247,0.7999753132136024,0.5,0.23433744915222454,39.74472,0.021111508705343507,0.018688908961904543,0.013585347147591667,True
cvar_0.95,47,11,True,3,0.504063743684027,0.5584240191512637,0.8268695672353109,0.7412797808647156,48576880,0.9106973114343185,0.6451640572271955,0.8315814151123093,0.8695443645083932,0.7936184657162254,0.6,0.24702640447340224,48.57688,0.017021874752666512,0.01525992984450042,0.01149567487972187,True
centralized,7,11,True,3,0.27218699372477,0.452254031267431,0.8879653082953559,0.8278585076332092,0,0.9002748255015689,0.61027071100255,0.7831273807097628,0.6729016786570743,0.8933530827624514,0.2,0.15786613710749292,0.0,0.0,0.0,0.0,True
centralized,11,13,True,5,0.2964487257930968,0.3703431048327022,0.8976793421639336,0.8477272987365723,0,0.8969237422504137,0.6008488451317625,0.7728035531212134,0.6321342925659472,0.9134728136764797,0.45528455284552843,0.41671219446198954,0.0,0.0,0.0,0.0,True
centralized,19,12,True,4,0.29433828178379273,0.4415241769618458,0.887220025062561,0.8376500606536865,0,0.888192730392616,0.5819259062991274,0.7737484443106504,0.6517985611510791,0.8956983274702216,0.2,0.14759635986055863,0.0,0.0,0.0,0.0,True
centralized,23,13,True,5,0.3016689485973782,0.3981778464383549,0.8903517259491814,0.8360707759857178,0,0.8956248443200634,0.6107641486068718,0.7855607607970281,0.6752997601918466,0.8958217614022095,0.4,0.19058494562318914,0.0,0.0,0.0,0.0,True
centralized,29,17,True,9,0.29604897896448773,0.5022458541724417,0.8988981776767306,0.8439671397209167,0,0.892311886465647,0.5937871540217423,0.7657988994843747,0.6153477218225419,0.9162500771462075,0.3,0.180796832884097,0.0,0.0,0.0,0.0,True
centralized,31,10,True,2,0.29623128804895615,0.3381901482741038,0.8872669074270461,0.8360707759857178,0,0.9028446785249081,0.6250308383392237,0.7928651191248446,0.6968824940047962,0.8888477442448929,0.2,0.14722445884519847,0.0,0.0,0.0,0.0,True
centralized,37,12,True,4,0.2659486316972309,0.35040292806095547,0.8952633539835612,0.8430196046829224,0,0.9001346673078127,0.6116922287147342,0.7822873639618207,0.6565947242206235,0.907980003703018,0.0,0.17890681003584227,0.0,0.0,0.0,0.0,True
centralized,41,15,True,7,0.3192691488398446,0.48589885069264305,0.8888025416268243,0.8401505351066589,0,0.9015558447520821,0.611306422939089,0.7896374994061407,0.6834532374100719,0.8958217614022095,0.3,0.21190476190476187,0.0,0.0,0.0,0.0,True
centralized,43,11,True,3,0.2618279792368412,0.40342045161459184,0.8839279876814948,0.8291091322898865,0,0.8992006986893358,0.6094641980803636,0.7956837196415798,0.7045563549160672,0.8868110843670926,0.4,0.19379118808876203,0.0,0.0,0.0,0.0,True
centralized,47,15,True,7,0.288267588449849,0.5071127398146523,0.8963940143585205,0.853758692741394,0,0.8931124161955383,0.5998317066586561,0.7718134620243076,0.6302158273381295,0.9134110967104857,0.2,0.20766488413547235,0.0,0.0,0.0,0.0,True
local_only,7,50,False,,,0.0,0.9088932432448679,0.8689197725837018,0,0.8828653964932083,0.4710093124807999,0.6940572233620665,0.4373933821480884,0.9507210645760445,0.1,0.15661463135523482,0.0,0.0,0.0,0.0,True
