experiment,variant,features,seed,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc,hidden,parameters
5a_categorical,full,1021,7,37,True,22,0.2769276400407155,0.30490224891238743,0.8404002984364828,0.7465495467185974,448312720,0.9136558185408717,0.6657575322600584,0.8336525743300933,0.8609112709832134,0.8063938776769733,0.5,0.2831095173772679,,
5a_categorical,full,1021,11,35,True,20,0.274493298596806,0.2886350883377923,0.8578353259298537,0.7713927030563354,424079600,0.9135011561200955,0.6634353314064841,0.8323894189591856,0.8398081534772183,0.8249706844411528,0.4,0.3453961159997636,,
5a_categorical,full,1021,13,63,True,48,0.26599198083082837,0.30472851461834377,0.8373985290527344,0.7475533485412598,763343280,0.9139796624096759,0.6719244386851971,0.8348858924339884,0.871462829736211,0.7983089551317657,0.5,0.2863356302835775,,
5a_categorical,full,1021,17,47,True,32,0.2716210260987282,0.3107380345463753,0.8332781063185798,0.7435382604598999,569478320,0.9128294180060506,0.6695034151392986,0.8311943742543458,0.8685851318944844,0.7938036166142073,0.6,0.28127689656127686,,
5a_categorical,full,1021,23,53,True,38,0.27005702671077514,0.28366826226313907,0.8516208926836649,0.773149311542511,642177680,0.9133484177294343,0.6690560028571949,0.8308985324238295,0.8383693045563549,0.823427760291304,0.5,0.325763175035181,,
5a_categorical,no_categoricals,954,7,37,True,22,0.2799156341287825,0.31122086114353603,0.834374209245046,0.7390213012695312,422927760,0.9131697049322215,0.6650040919945756,0.8330485028751671,0.8705035971223022,0.7955934086280319,0.5,0.33588710976598507,,
5a_categorical,no_categoricals,954,11,35,True,20,0.28257470412386787,0.2928982542620765,0.856207032998403,0.7751568555831909,400066800,0.9102192639519193,0.655389156636307,0.8292789726744803,0.8330935251798561,0.8254644201691045,0.4,0.3352219524440893,,
5a_categorical,no_categoricals,954,13,36,True,21,0.28797022336059147,0.28855598469575244,0.8493611282772489,0.7596336007118225,411497280,0.9120852623585264,0.6651826989112166,0.8278506023176275,0.8378896882494005,0.8178115163858545,0.5,0.30539448085100257,,
5a_categorical,no_categoricals,954,17,43,True,28,0.27680913772847915,0.2964725544055303,0.8455896178881327,0.7540777921676636,491510640,0.9119614584207472,0.6624114582816578,0.831346269031803,0.8498800959232614,0.8128124421403444,0.5,0.2819441106881112,,
5a_categorical,no_categoricals,954,23,35,True,20,0.2852495801117685,0.29955079985989463,0.8411375549104478,0.7510665059089661,400066800,0.9113553445338527,0.6629106145071899,0.8264776884287792,0.8494004796163069,0.8035548972412516,0.5,0.3595950080059318,,
5b_class_weight,original,,7,37,True,22,0.2855153704682986,0.31379927694797516,0.8343564867973328,0.7367628812789917,448312720,0.9147384702865368,0.666336085739462,0.8346390245700126,0.871462829736211,0.7978152194038141,0.5,0.3340605332409919,,
5b_class_weight,original,,11,35,True,20,0.274493298596806,0.2886350883377923,0.8578353259298537,0.7713927030563354,424079600,0.9135011561200955,0.6634353314064841,0.8323894189591856,0.8398081534772183,0.8249706844411528,0.4,0.3453961159997636,,
5b_class_weight,original,,13,63,True,48,0.26599198083082837,0.30472851461834377,0.8373985290527344,0.7475533485412598,763343280,0.9139796624096759,0.6719244386851971,0.8348858924339884,0.871462829736211,0.7983089551317657,0.5,0.2863356302835775,,
5b_class_weight,original,,17,47,True,32,0.2716210260987282,0.3107380345463753,0.8332781063185798,0.7435382604598999,569478320,0.9128294180060506,0.6695034151392986,0.8311943742543458,0.8685851318944844,0.7938036166142073,0.6,0.28127689656127686,,
5b_class_weight,original,,23,53,True,38,0.27005702671077514,0.28366826226313907,0.8516208926836649,0.773149311542511,642177680,0.9133484177294343,0.6690560028571949,0.8308985324238295,0.8383693045563549,0.823427760291304,0.5,0.325763175035181,,
5b_class_weight,uniform,,7,36,True,30,0.179099939763546,0.17972902125782436,0.9285470114813911,0.8796588778495789,436196160,0.913103103889782,0.668111228417236,0.7149471387526157,0.4537170263788969,0.9761772511263346,0.0,0.2616212048820744,,
5b_class_weight,uniform,,11,53,True,43,0.17704778661330542,0.17774154535598224,0.9291544821527269,0.8799747228622437,642177680,0.9133042686384127,0.6699617402184799,0.7214933552139958,0.46810551558753,0.9748811948404617,0.1,0.2809883376427495,,
5b_class_weight,uniform,,13,40,True,39,0.17918319089545143,0.18337959258092773,0.930385516749488,0.8825016021728516,484662400,0.9092732331446453,0.6635489755500372,0.7213531822200081,0.4671462829736211,0.9755600814663951,0.0,0.3125874055882464,,
5b_class_weight,uniform,,17,57,True,44,0.17708596463004747,0.17927121122678122,0.9301984243922763,0.8847125768661499,690643920,0.9135650487201425,0.6733782138061015,0.7094854092656258,0.4369304556354916,0.98204036289576,0.0,0.30842437384279286,,
5b_class_weight,uniform,,23,45,True,30,0.17643956881430414,0.17799645538131395,0.9305796027183533,0.8831332921981812,545245200,0.9148462159729724,0.6725369377713724,0.6980478346447079,0.411031175059952,0.9850644942294636,0.0,0.3170153570297472,,
5b_class_weight,sqrt,,7,37,True,35,0.1998328442374865,0.20296493710743058,0.9152981109089322,0.861655056476593,448312720,0.9150655258056098,0.6706630356854537,0.7987224144032303,0.6700239808153478,0.9274208479911128,0.2,0.28894699212036673,,
5b_class_weight,sqrt,,11,35,True,33,0.1948743404613601,0.19725148379802704,0.9166074130270216,0.8644977807998657,424079600,0.9136033813201244,0.6707254395847799,0.795417137869042,0.6618705035971223,0.9289637721409616,0.2,0.31827220480319857,,
5b_class_weight,sqrt,,13,69,True,54,0.1913143549528387,0.1952329460117552,0.9177402456601461,0.8597599267959595,836042640,0.9141623860696668,0.6777527649909775,0.7975110746433403,0.6642685851318945,0.9307535641547862,0.2,0.3410191521626161,,
5b_class_weight,sqrt,,17,47,True,32,0.19252232048246595,0.20557208276457256,0.9142448703447977,0.8588123917579651,569478320,0.9125303941257289,0.6675743715897169,0.795500833179041,0.6666666666666666,0.9243349996914152,0.2,0.2736794468514452,,
5b_class_weight,sqrt,,23,58,True,43,0.19304052574767006,0.1994139730102486,0.9150418440500895,0.8566014170646667,702760480,0.9144646660009521,0.6727184765828464,0.796186779515473,0.6661870503597123,0.9261865086712338,0.2,0.27881727451292665,,
5c_architecture,current_256_128_64,,7,37,True,22,0.27561942901876235,0.3123964410689142,0.8327012260754904,0.7400251030921936,448312720,0.9138221731446541,0.6677190020990369,0.8324145941532277,0.8695443645083932,0.7952848237980621,0.5,0.3148112482340231,"(256, 128, 64)",302914
5c_architecture,current_256_128_64,,11,35,True,20,0.274493298596806,0.2886350883377923,0.8578353259298537,0.7713927030563354,424079600,0.9135011561200955,0.6634353314064841,0.8323894189591856,0.8398081534772183,0.8249706844411528,0.4,0.3453961159997636,"(256, 128, 64)",302914
5c_architecture,current_256_128_64,,13,63,True,48,0.26599198083082837,0.30472851461834377,0.8373985290527344,0.7475533485412598,763343280,0.9139796624096759,0.6719244386851971,0.8348858924339884,0.871462829736211,0.7983089551317657,0.5,0.2863356302835775,"(256, 128, 64)",302914
5c_architecture,current_256_128_64,,17,47,True,32,0.2716210260987282,0.3107380345463753,0.8332781063185798,0.7435382604598999,569478320,0.9128294180060506,0.6695034151392986,0.8311943742543458,0.8685851318944844,0.7938036166142073,0.6,0.28127689656127686,"(256, 128, 64)",302914
5c_architecture,current_256_128_64,,23,53,True,38,0.27005702671077514,0.28366826226313907,0.8516208926836649,0.773149311542511,642177680,0.9133484177294343,0.6690560028571949,0.8308985324238295,0.8383693045563549,0.823427760291304,0.5,0.325763175035181,"(256, 128, 64)",302914
5c_architecture,shallow_128_64,,7,32,True,20,0.29606492651833427,0.29768647336297566,0.8509208692444695,0.7722678184509277,178178560,0.9127887469694677,0.6648618108899771,0.8326865040091607,0.8426858513189448,0.8226871566993766,0.6,0.39876660512689927,"(128, 64)",139202
5c_architecture,shallow_128_64,,11,30,True,15,0.29394421312544083,0.3158047977421019,0.8425997429423862,0.7575909495353699,167042400,0.9137911222586456,0.6653184278021826,0.8348542347384822,0.8652278177458034,0.8044806517311609,0.5,0.31113883322930597,"(128, 64)",139202
5c_architecture,shallow_128_64,,13,32,True,17,0.2898353296849463,0.3152287221617169,0.8361699448691474,0.7392722964286804,178178560,0.9149925458633278,0.6703917466377295,0.8328942104601822,0.8705035971223022,0.7952848237980621,0.5,0.30776317533260206,"(128, 64)",139202
5c_architecture,shallow_128_64,,17,62,True,47,0.26210422731108135,0.2864055749442842,0.8578323258293999,0.774403989315033,345220960,0.9123949720061018,0.6723111658882371,0.8312944534207849,0.8345323741007195,0.8280565327408504,0.5,0.3326900679920024,"(128, 64)",139202
5c_architecture,shallow_128_64,,23,65,True,50,0.27251408497492474,0.27639149791664547,0.864086561732822,0.7956411838531494,361925200,0.9115558136715955,0.6667800116695382,0.829490763989438,0.818705035971223,0.8402764920076529,0.5,0.2626563481866612,"(128, 64)",139202
5c_architecture,wide_deep_512_256_128_64,,7,48,True,33,0.2569768718547291,0.33520009451442295,0.8188709616661072,0.7382684946060181,1336078080,0.9122544290063228,0.6655439381270729,0.8266043192108044,0.8743405275779377,0.7788681108436709,0.5,0.29868118906183416,"(512, 256, 128, 64)",695874
5c_architecture,wide_deep_512_256_128_64,,11,42,True,27,0.26575705657402676,0.31588109251525665,0.8423098656866286,0.7538268566131592,1169068320,0.9113228136246789,0.6551365641565171,0.8322401438227311,0.860431654676259,0.8040486329692033,0.5,0.3802159952122455,"(512, 256, 128, 64)",695874
5c_architecture,wide_deep_512_256_128_64,,13,44,True,29,0.2648189556267526,0.2965989088018735,0.8486382365226746,0.7723965048789978,1224738240,0.9146195356249716,0.6667863846852191,0.835681375284886,0.8551558752997602,0.8162068752700117,0.5,0.3316903231918187,"(512, 256, 128, 64)",695874
5c_architecture,wide_deep_512_256_128_64,,17,31,True,16,0.2759000154005157,0.3139939506848653,0.8382426102956136,0.754328727722168,862883760,0.9141554299607897,0.664912705847523,0.832049753642744,0.8565947242206235,0.8075047830648645,0.5,0.3440998569236981,"(512, 256, 128, 64)",695874
5c_architecture,wide_deep_512_256_128_64,,23,50,True,35,0.26541398962338764,0.2668808417187797,0.8566593064202203,0.7766624689102173,1391748000,0.913422048881909,0.6686685147528584,0.8289766483424998,0.826378896882494,0.8315743998025057,0.5,0.3171370734528629,"(512, 256, 128, 64)",695874
