run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early,auroc,auprc,balanced_accuracy,sensitivity,specificity,worst_client_recall,worst_client_auprc,drift_mean_update_norm,drift_avg_update_norm,method,beta
dirichlet_beta_0p1_fedavg,41,0.0,1,0.5305208308356149,0.7535089041505542,0.0,81760,81760,163520,6 5 3 2 13 4 8 11 12 7,0.5305208308356149,1,0,False,0.8210167916107357,0.44362166232497535,0.7368435459468068,0.6208791208791209,0.8528079710144928,0.0,0.0,0.4961466282606125,0.6376198530197144,dirichlet_beta_0p1_fedavg,0.1
dirichlet_beta_0p1_fedavg,41,0.0,2,0.5194856630904334,0.7479611784219742,0.0,81760,81760,163520,0 12 3 10 13 7 2 1 5 8,0.5194856630904334,2,0,False,0.8119749659200358,0.4241033608859161,0.6979116897595159,0.43956043956043955,0.9562629399585921,0.0,0.0,0.36824713945388793,0.46374645829200745,dirichlet_beta_0p1_fedavg,0.1
dirichlet_beta_0p1_fedavg,41,0.0,3,0.551221099283014,0.7494586450713021,0.0,81760,81760,163520,2 4 10 9 11 0 1 6 12 8,0.5194856630904334,2,1,False,0.8444491073324536,0.43590898216767426,0.6947015846472369,0.43223443223443225,0.9571687370600414,0.0,0.0,0.3775481849908829,0.3839469254016876,dirichlet_beta_0p1_fedavg,0.1
dirichlet_beta_0p1_fedavg,41,0.0,4,0.5695791521242687,0.7367677411862782,0.0,81760,81760,163520,6 4 11 3 1 5 7 9 12 0,0.5194856630904334,2,2,False,0.8171732565657255,0.45005587038529543,0.6321020465042204,0.27106227106227104,0.9931418219461697,0.0,0.0,0.38262583762407304,0.41206294298171997,dirichlet_beta_0p1_fedavg,0.1
dirichlet_beta_0p1_fedavg,41,0.0,5,0.5988642482885292,0.7361513418810708,0.0,81760,81760,163520,1 13 2 11 0 4 5 12 8 9,0.5194856630904334,2,3,False,0.8643303405531666,0.4754817505569039,0.6260103121516165,0.2573260073260073,0.9946946169772257,0.0,0.0,0.38137815445661544,0.382448673248291,dirichlet_beta_0p1_fedavg,0.1
dirichlet_beta_0p1_fedavg,41,0.0,6,0.7262354626187256,0.7171923379812922,0.0,81760,81760,163520,9 13 2 6 0 4 10 1 12 5,0.5194856630904334,2,4,False,0.8395844175881055,0.4581534236627987,0.5970148510909381,0.19597069597069597,0.9980590062111802,0.0,0.0,0.3774982824921608,0.36380261182785034,dirichlet_beta_0p1_fedavg,0.1
dirichlet_beta_0p1_fedavg,41,0.0,7,0.6113640815019608,0.7383413016796112,0.0,81760,81760,163520,6 0 10 11 7 13 3 12 8 1,0.5194856630904334,2,5,False,0.8740464482894607,0.45568308133011387,0.6622198001274089,0.3424908424908425,0.9819487577639752,0.0,0.0,0.34287491589784624,0.2012181431055069,dirichlet_beta_0p1_fedavg,0.1
dirichlet_beta_0p1_fedavg,41,0.0,8,0.8243165234369891,0.7119828845773425,0.0,81760,81760,163520,1 7 11 6 10 8 4 12 0 5,0.5194856630904334,2,6,False,0.8078390968288096,0.4317336496417876,0.5787919055582099,0.15842490842490842,0.9991589026915114,0.0,0.0,0.4158038511872292,0.4200456738471985,dirichlet_beta_0p1_fedavg,0.1
dirichlet_beta_0p1_fedavg,41,0.0,9,0.9961022924897927,0.7008493127567428,0.0,81760,81760,163520,10 7 5 2 13 1 0 11 6 12,0.5194856630904334,2,7,False,0.7939166138166526,0.4179104050662477,0.5432070194298455,0.08699633699633699,0.999417701863354,0.0,0.0,0.39626594334840776,0.42183899879455566,dirichlet_beta_0p1_fedavg,0.1
dirichlet_beta_0p1_fedavg,41,0.0,10,1.0235166970108236,0.7073990819709641,0.0,81760,81760,163520,10 11 2 6 1 8 13 4 0 9,0.5194856630904334,2,8,False,0.77479302583631,0.39550517069563534,0.5620446129957,0.12454212454212454,0.9995471014492754,0.0,0.0,0.38101055324077604,0.4229036569595337,dirichlet_beta_0p1_fedavg,0.1
dirichlet_beta_0p1_fedavg,41,0.0,11,1.1225817467618202,0.6984380446374416,0.0,81760,81760,163520,3 6 5 7 12 10 1 11 2 4,0.5194856630904334,2,9,False,0.8284167119328221,0.4622075942639028,0.535127010670489,0.07051282051282051,0.9997412008281573,0.0,0.0,0.49164486229419707,0.39179477095603943,dirichlet_beta_0p1_fedavg,0.1
dirichlet_beta_0p1_fedavg,41,0.0,12,1.1821771680177855,0.6970155292323658,0.0,81760,81760,163520,3 10 13 4 6 5 9 7 2 11,0.5194856630904334,2,10,False,0.8320531128421269,0.42915982521607093,0.5309090818601688,0.06227106227106227,0.9995471014492754,0.0,0.0,0.4439550831913948,0.3760073184967041,dirichlet_beta_0p1_fedavg,0.1
dirichlet_beta_0p1_fedavg,41,0.0,13,1.3530460735450365,0.6916295759645956,0.0,81760,81760,163520,11 1 3 8 2 13 0 12 6 10,0.5194856630904334,2,11,False,0.8427933377224913,0.4224584064515848,0.5158638915432394,0.03205128205128205,0.9996765010351967,0.0,0.0,0.3840952530503273,0.40252912044525146,dirichlet_beta_0p1_fedavg,0.1
dirichlet_beta_0p1_fedavg,41,0.0,14,1.3986032418075152,0.6958178247192076,0.0,81760,81760,163520,10 3 1 12 8 2 7 9 0 11,0.5194856630904334,2,12,False,0.8299111764270926,0.4193599760941835,0.5258401019270584,0.0521978021978022,0.9994824016563147,0.0,0.0,0.3771568015217781,0.348257839679718,dirichlet_beta_0p1_fedavg,0.1
dirichlet_beta_0p1_fedavg,41,0.0,15,1.6769081327698327,0.686375758352889,0.0,81760,81760,163520,6 10 11 1 7 3 9 8 2 5,0.5194856630904334,2,13,False,0.7543219402448829,0.36621454338649806,0.5021276278069756,0.004578754578754579,0.9996765010351967,0.0,0.0,0.4123075813055038,0.4756016731262207,dirichlet_beta_0p1_fedavg,0.1
dirichlet_beta_0p1_fedavg,41,0.0,16,1.6727755279779168,0.6938695106655359,0.0,81760,81760,163520,13 5 0 2 9 10 8 4 6 1,0.5194856630904334,2,14,False,0.7779766170682318,0.38630804897129745,0.5222741479534958,0.04487179487179487,0.9996765010351967,0.0,0.0,0.4548263892531395,0.4694916605949402,dirichlet_beta_0p1_fedavg,0.1
dirichlet_beta_0p1_fedavg,41,0.0,17,1.9265898833234263,0.6858646113957677,0.0,81760,81760,163520,6 11 1 0 8 5 3 9 7 2,0.5194856630904334,2,15,True,0.7276059619081747,0.3151491866306873,0.5002961259754738,0.0009157509157509158,0.9996765010351967,0.0,0.0,0.4331176519393921,0.5554295182228088,dirichlet_beta_0p1_fedavg,0.1
